School Name,School Name [Public School] 2010-11,School ID - NCES Assigned [Public School] 2010-11,Agency Name [Public School] 2010-11,Agency ID - NCES Assigned [Public School] 2010-11,County Name [Public School] 2010-11,County Number [Public School] 2010-11,Location Address [Public School] 2010-11,Location City [Public School] 2010-11,Location State Abbr [Public School] 2010-11,Location ZIP [Public School] 2010-11,Location ZIP4 [Public School] 2010-11,Phone Number [Public School] 2010-11,School Type [Public School] 2010-11,Agency Type [District] 2010-11,Operational Status [Public School] 2010-11,Charter School [Public School] 2010-11,Latitude [Public School] 2010-11,Longitude [Public School] 2010-11,State School ID [Public School] 2010-11,State Agency ID [Public School] 2010-11
"HEAD START PROGRAM, CT",HEAD START PROGRAM,90147000207,ENFIELD SCHOOL DISTRICT,901470,HARTFORD COUNTY,9003,1270 ENFIELD ST,ENFIELD,CT,6082,4919,8602536470,1-Regular school,1-Local school district,1-Currently operational,2-No,41.978812,-72.592234,80,49
"HEADSTART, CT",HEADSTART,90279000570,NEW HAVEN SCHOOL DISTRICT,902790,NEW HAVEN COUNTY,9009,54 MEADOW ST,NEW HAVEN,CT,6515,1006,2039468913,1-Regular school,1-Local school district,1-Currently operational,2-No,41.299907,-72.92587,80,93
"HEALTH OPPORTUNITIES HIGH SCHOOL, NY",HEALTH OPPORTUNITIES HIGH SCHOOL,360008000000,NEW YORK CITY GEOGRAPHIC DISTRICT # 7,3600084,BRONX COUNTY,36005,350 GERARD AVE,BRONX,NY,10451,,7184011826,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.815922,-73.930353,320700000000,320700000000
"HEALTH SCIENCES CHARTER SCHOOL, NY",HEALTH SCIENCES CHARTER SCHOOL,360102000000,HEALTH SCIENCES CHARTER SCHOOL,3601022,ERIE COUNTY,36029,169 SHERIDAN PARKSIDE DR,TONAWANDA,NY,14150,,7164021872,1-Regular school,7-Charter school agency,3-New school,1-Yes,42.985333,-78.893908,142602000000,142602000000
"HEATHCOTE SCHOOL, NY",HEATHCOTE SCHOOL,362595000000,SCARSDALE UNION FREE SCHOOL DISTRICT,3625950,WESTCHESTER COUNTY,36119,26 PALMER AVE,SCARSDALE,NY,10583,7195,9147212760,1-Regular school,1-Local school district,1-Currently operational,2-No,40.985351,-73.773092,662001000000,662001000000
"HEATLY SCHOOL, NY",HEATLY SCHOOL,361266000000,GREEN ISLAND UNION FREE SCHOOL DISTRICT,3612660,ALBANY COUNTY,36001,171 HUDSON AVE,GREEN ISLAND,NY,12183,1293,5182731422,1-Regular school,1-Local school district,1-Currently operational,2-No,42.746092,-73.690241,10701030001,10701030000
"HEBREW LANGUAGE ACADEMY, NY",HEBREW LANGUAGE ACADEMY,360100000000,HEBREW LANGUAGE ACADEMY,3601003,KINGS COUNTY,36047,3340 KINGS HWY,BROOKLYN,NY,11234,,7183777200,1-Regular school,7-Charter school agency,1-Currently operational,1-Yes,40.618751,-73.942012,332201000000,332201000000
"HEBRON AVENUE SCHOOL, CT",HEBRON AVENUE SCHOOL,90162000284,GLASTONBURY SCHOOL DISTRICT,901620,HARTFORD COUNTY,9003,1323 HEBRON AVE,GLASTONBURY,CT,6033,2508,8606527875,1-Regular school,1-Local school district,1-Currently operational,2-No,41.717866,-72.561069,4,54
"HEBRON ELEMENTARY SCHOOL, CT",HEBRON ELEMENTARY SCHOOL,90201000388,HEBRON SCHOOL DISTRICT,902010,TOLLAND COUNTY,9013,92 CHURCH ST,HEBRON,CT,6248,1427,8602289465,1-Regular school,1-Local school district,1-Currently operational,2-No,41.652947,-72.362077,1,67
"HEDGEPETH  WILLIAMS SCH, NJ",HEDGEPETH  WILLIAMS SCH,341629000000,TRENTON,3416290,MERCER COUNTY,34021,301 GLADSTONE AVE,TRENTON,NJ,8629,1812,6096564760,1-Regular school,1-Local school district,1-Currently operational,2-No,40.222227,-74.736708,80,215210
"HEIGHTS, NJ",HEIGHTS,341191000000,OAKLAND,3411910,BERGEN COUNTY,34003,114 SEMINOLE AVE,OAKLAND,NJ,7436,2924,2013374147,1-Regular school,1-Local school district,1-Currently operational,2-No,41.035643,-74.22655,50,33760
"HEIGHTS MIDDLE SCHOOL, NJ",HEIGHTS MIDDLE SCHOOL,340783000000,JERSEY CITY,3407830,HUDSON COUNTY,34017,222 LAIDLAW AVE,JERSEY CITY,NJ,7306,,2019156202,1-Regular school,1-Local school district,1-Currently operational,2-No,40.739648,-74.058422,155,172390
"HEIM ELEMENTARY SCHOOL, NY",HEIM ELEMENTARY SCHOOL,363147000000,WILLIAMSVILLE CENTRAL SCHOOL DISTRICT,3631470,ERIE COUNTY,36029,155 HEIM RD,WILLIAMSVILLE,NY,14221,1396,7166268686,1-Regular school,1-Local school district,1-Currently operational,2-No,43.010367,-78.762389,140203000000,140203000000
"HEIM MIDDLE SCHOOL, NY",HEIM MIDDLE SCHOOL,363147000000,WILLIAMSVILLE CENTRAL SCHOOL DISTRICT,3631470,ERIE COUNTY,36029,175 HEIM RD,WILLIAMSVILLE,NY,14221,1397,7166268600,1-Regular school,1-Local school district,1-Currently operational,2-No,43.010764,-78.761717,140203000000,140203000000
"HELEN A  FORT MIDDLE SCH, NJ",HELEN A  FORT MIDDLE SCH,341281000000,PEMBERTON TOWNSHIP,3412810,BURLINGTON COUNTY,34005,101 FORT DIX RD,PEMBERTON,NJ,8068,1499,6098938141,1-Regular school,1-Local school district,1-Currently operational,2-No,39.983518,-74.677772,50,54050
"HELEN B DUFFIELD ELEMENTARY SCHOOL, NY",HELEN B DUFFIELD ELEMENTARY SCHOOL,360816000000,CONNETQUOT CENTRAL SCHOOL DISTRICT,3608160,SUFFOLK COUNTY,36103,600 1ST ST,RONKONKOMA,NY,11779,6304,6314676010,1-Regular school,1-Local school district,1-Currently operational,2-No,40.801813,-73.131597,580507000000,580507000000
"HELEN I SMITH, NJ",HELEN I SMITH,341449000000,SADDLE BROOK TOWNSHIP,3414490,BERGEN COUNTY,34003,230 CAMBRIDGE AVE,SADDLE BROOK,NJ,7662,,2017966650,1-Regular school,1-Local school district,1-Currently operational,2-No,40.910912,-74.103896,85,34610
"HELEN KELLER MIDDLE SCHOOL, CT",HELEN KELLER MIDDLE SCHOOL,90141000233,EASTON SCHOOL DISTRICT,901410,FAIRFIELD COUNTY,9001,360 SPORT HILL RD,EASTON,CT,6612,1714,2032688651,1-Regular school,1-Local school district,1-Currently operational,2-No,41.243273,-73.273375,51,46
"HELEN MORGAN, NJ",HELEN MORGAN,341551000000,SPARTA TOWNSHIP,3415510,SUSSEX COUNTY,34037,100 STANHOPE RD,SPARTA,NJ,7871,2199,9737295770,1-Regular school,1-Local school district,1-Currently operational,2-No,41.026711,-74.637085,60,374960
"HELEN STREET SCHOOL, CT",HELEN STREET SCHOOL,90186000341,HAMDEN SCHOOL DISTRICT,901860,NEW HAVEN COUNTY,9009,285 HELEN ST,HAMDEN,CT,6514,3235,2034072030,1-Regular school,1-Local school district,1-Currently operational,2-No,41.34961,-72.943605,4,62
"HELENDALE ROAD PRIMARY SCHOOL, NY",HELENDALE ROAD PRIMARY SCHOOL,360969000000,EAST IRONDEQUOIT CENTRAL SCHOOL DISTRICT,3609690,MONROE COUNTY,36055,220 HELENDALE RD,ROCHESTER,NY,14609,4405,5853391330,1-Regular school,1-Local school district,1-Currently operational,2-No,43.174043,-77.544671,260801000000,260801000000
"HELENE GRANT HEADSTART, CT",HELENE GRANT HEADSTART,90279001543,NEW HAVEN SCHOOL DISTRICT,902790,NEW HAVEN COUNTY,9009,185 GOFFE ST,NEW HAVEN,CT,6511,,2039468666,1-Regular school,1-Local school district,1-Currently operational,2-No,41.317046,-72.936746,83,93
"HELLENIC CLASSICAL CHARTER SCHOOL, NY",HELLENIC CLASSICAL CHARTER SCHOOL,360015000000,HELLENIC CLASSICAL CHARTER SCHOOL,3600146,KINGS COUNTY,36047,646 5TH AVE,BROOKLYN,NY,11215,,7184990957,1-Regular school,7-Charter school agency,1-Currently operational,1-Yes,40.662688,-73.992157,331501000000,331501000000
"HELPING HANDS, CT",HELPING HANDS,90348001518,PUTNAM SCHOOL DISTRICT,903480,WINDHAM COUNTY,9015,32 NEWPORT AVE,PUTNAM,CT,6260,,8609636926,2-Special education school,1-Local school district,1-Currently operational,2-No,41.917081,-71.896058,90,116
"HEMLOCK ELEMENTARY SCHOOL, NY",HEMLOCK ELEMENTARY SCHOOL,360528000000,BRENTWOOD UNION FREE SCHOOL DISTRICT,3605280,SUFFOLK COUNTY,36103,19 HEMLOCK DR,BAY SHORE,NY,11706,2900,6314342451,1-Regular school,1-Local school district,1-Currently operational,2-No,40.754945,-73.274374,580512000000,580512000000
"HEMLOCK SCHOOL, NY",HEMLOCK SCHOOL,361176000000,GARDEN CITY UNION FREE SCHOOL DISTRICT,3611760,NASSAU COUNTY,36059,78 BAYBERRY AVE,GARDEN CITY,NY,11530,216,5164781600,1-Regular school,1-Local school district,1-Currently operational,2-No,40.739395,-73.625864,280218000000,280218000000
"HEMPSTEAD EARLY CHILDHOOD CENTER, NY",HEMPSTEAD EARLY CHILDHOOD CENTER,361413000000,HEMPSTEAD UNION FREE SCHOOL DISTRICT,3614130,NASSAU COUNTY,36059,436 FRONT ST,HEMPSTEAD,NY,11550,4212,5164892424,1-Regular school,1-Local school district,1-Currently operational,2-No,40.707584,-73.61752,280201000000,280201000000
"HEMPSTEAD ELEMENTARY SCHOOL, NY",HEMPSTEAD ELEMENTARY SCHOOL,362781000000,EAST RAMAPO CENTRAL SCHOOL DISTRICT (SPRING VALLEY),3627810,ROCKLAND COUNTY,36087,80 BRICK CHURCH RD,SPRING VALLEY,NY,10977,1799,8455776270,1-Regular school,1-Local school district,1-Currently operational,2-No,41.142769,-74.053868,500402000000,500402000000
"HEMPSTEAD HIGH SCHOOL, NY",HEMPSTEAD HIGH SCHOOL,361413000000,HEMPSTEAD UNION FREE SCHOOL DISTRICT,3614130,NASSAU COUNTY,36059,201 PRESIDENT ST,HEMPSTEAD,NY,11550,4989,5162927014,1-Regular school,1-Local school district,1-Currently operational,2-No,40.699082,-73.631056,280201000000,280201000000
"HENDRICK HUDSON HIGH SCHOOL, NY",HENDRICK HUDSON HIGH SCHOOL,361419000000,HENDRICK HUDSON CENTRAL SCHOOL DISTRICT,3614190,WESTCHESTER COUNTY,36119,2166 ALBANY POST RD,MONTROSE,NY,10548,1093,9142575800,1-Regular school,1-Local school district,1-Currently operational,2-No,41.240879,-73.924352,660203000000,660203000000
"HENDY AVENUE SCHOOL, NY",HENDY AVENUE SCHOOL,361056000000,ELMIRA CITY SCHOOL DISTRICT,3610560,CHEMUNG COUNTY,36015,110 HENDY AVE,ELMIRA,NY,14905,,6077353750,1-Regular school,1-Local school district,1-Currently operational,2-No,42.078206,-76.845437,70600010010,70600010000
"HENNINGER HIGH SCHOOL, NY",HENNINGER HIGH SCHOOL,362859000000,SYRACUSE CITY SCHOOL DISTRICT,3628590,ONONDAGA COUNTY,36067,600 ROBINSON ST,SYRACUSE,NY,13206,3598,3154354343,1-Regular school,1-Local school district,1-Currently operational,2-No,43.058444,-76.119707,421800000000,421800000000
"HENRY (WILLIAM) MIDDLE SCHOOL, DE",HENRY (WILLIAM) MIDDLE SCHOOL,100019000000,CAPITAL SCHOOL DISTRICT,1000190,KENT COUNTY,10001,CARVER RD,DOVER,DE,19904,2716,3026721622,1-Regular school,1-Local school district,1-Currently operational,2-No,39.16146,-75.54037,646,13
"HENRY ABBOTT TECHNICAL HIGH SCHOOL, CT",HENRY ABBOTT TECHNICAL HIGH SCHOOL,90000201144,CONNECTICUT TECHNICAL HIGH SC,900002,FAIRFIELD COUNTY,9001,21 HAYESTOWN AVE,DANBURY,CT,6810,,2037974460,3-Vocational school,5-State-operated institution,1-Currently operational,2-No,41.412798,-73.453997,12,900
"HENRY B  MILNES, NJ",HENRY B  MILNES,340498000000,FAIR LAWN,3404980,BERGEN COUNTY,34003,PHILLIP ST,FAIR LAWN,NJ,7410,4198,2017945552,1-Regular school,1-Local school district,1-Currently operational,2-No,40.934744,-74.10579,80,31450
"HENRY B WHITEHORNE MIDDLE, NJ",HENRY B WHITEHORNE MIDDLE,341674000000,VERONA,3416740,ESSEX COUNTY,34013,600 BLOOMFIELD AVE,VERONA,NJ,7044,1817,9732391300,1-Regular school,1-Local school district,1-Currently operational,2-No,40.83215,-74.246625,95,135370
"HENRY BARNARD SCHOOL, CT",HENRY BARNARD SCHOOL,90147000248,ENFIELD SCHOOL DISTRICT,901470,HARTFORD COUNTY,9003,27 SHAKER RD,ENFIELD,CT,6082,3199,8602536540,1-Regular school,1-Local school district,1-Currently operational,2-No,42.002275,-72.563663,18,49
"HENRY BARNARD SCHOOL, NY",HENRY BARNARD SCHOOL,362049000000,NEW ROCHELLE CITY SCHOOL DISTRICT,3620490,WESTCHESTER COUNTY,36119,129 BARNARD RD,NEW ROCHELLE,NY,10801,1301,9145764386,1-Regular school,1-Local school district,1-Currently operational,2-No,40.933242,-73.773484,661100000000,661100000000
"HENRY C BECK MIDDLE SCH, NJ",HENRY C BECK MIDDLE SCH,340300000000,CHERRY HILL TOWNSHIP,3403000,CAMDEN COUNTY,34007,CROPWELL RD,CHERRY HILL,NJ,8003,1499,8564244505,1-Regular school,1-Local school district,1-Currently operational,2-No,39.8841,-74.94884,73,70800
"HENRY E HARRIS  NO 1, NJ",HENRY E HARRIS  NO 1,340126000000,BAYONNE,3401260,HUDSON COUNTY,34017,135 AVE C,BAYONNE,NJ,7002,2499,2018585945,1-Regular school,1-Local school district,1-Currently operational,2-No,40.658184,-74.119815,50,170220
"HENRY H WELLS MIDDLE SCHOOL, NY",HENRY H WELLS MIDDLE SCHOOL,360531000000,BREWSTER CENTRAL SCHOOL DISTRICT,3605310,PUTNAM COUNTY,36079,570ROUTE 312,BREWSTER,NY,10509,9956,8452793702,1-Regular school,1-Local school district,1-Currently operational,2-No,41.434199,-73.604195,480601000000,480601000000
"HENRY HUDSON REG SCHOOL, NJ",HENRY HUDSON REG SCHOOL,340705000000,HENRY HUDSON REGIONAL SCH,3407050,MONMOUTH COUNTY,34025,1 GRAND TOUR,HIGHLANDS,NJ,7732,2001,7328720900,1-Regular school,1-Local school district,1-Currently operational,2-No,40.392986,-73.986866,50,252120
"HENRY J KALFAS MAGNET SCHOOL, NY",HENRY J KALFAS MAGNET SCHOOL,362082000000,NIAGARA FALLS CITY SCHOOL DISTRICT,3620820,NIAGARA COUNTY,36063,1880 BEECH AVE,NIAGARA FALLS,NY,14305,2099,7162789180,1-Regular school,1-Local school district,1-Currently operational,2-No,43.115247,-79.038354,400800000000,400800000000
"HENRY JAMES MEMORIAL SCHOOL, CT",HENRY JAMES MEMORIAL SCHOOL,90411000811,SIMSBURY SCHOOL DISTRICT,904110,HARTFORD COUNTY,9003,155 FIRETOWN RD,SIMSBURY,CT,6070,1962,8606513341,1-Regular school,1-Local school district,1-Currently operational,2-No,41.883211,-72.813471,51,128
"HENRY JOHNSON CHARTER SCHOOL, NY",HENRY JOHNSON CHARTER SCHOOL,360095000000,HENRY JOHNSON CHARTER SCHOOL,3600946,ALBANY COUNTY,36001,30 WATERVLIET AVE,ALBANY,NY,12206,,5184324300,1-Regular school,7-Charter school agency,1-Currently operational,1-Yes,42.675711,-73.783006,10100860892,10100860892
"HENRY L STIMSON MIDDLE SCHOOL, NY",HENRY L STIMSON MIDDLE SCHOOL,362730000000,SOUTH HUNTINGTON UNION FREE SCHOOL DISTRICT,3627300,SUFFOLK COUNTY,36103,401 OAKWOOD RD,HUNTINGTON STATION,NY,11746,7298,6318123700,1-Regular school,1-Local school district,1-Currently operational,2-No,40.838523,-73.429448,580413000000,580413000000
"HENRY P BECTON REG H S, NJ",HENRY P BECTON REG H S,340280000000,CARLSTADT-EAST RUTHERFORD,3402800,BERGEN COUNTY,34003,PATERSON AVE AND CORNELIA ST,E RUTHERFORD,NJ,7073,1594,2019353007,1-Regular school,1-Local school district,1-Currently operational,2-No,40.832576,-74.094163,50,30745
"HENRY SNYDER, NJ",HENRY SNYDER,340783000000,JERSEY CITY,3407830,HUDSON COUNTY,34017,239 BERGEN AVE,JERSEY CITY,NJ,7305,1524,2019156600,1-Regular school,1-Local school district,1-Currently operational,2-No,40.710214,-74.083866,50,172390
"HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES, NY",HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,360008000000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,3600076,NEW YORK COUNTY,36061,220 HENRY ST,NEW YORK,NY,10002,,2124069411,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.713636,-73.986506,310100000000,310100000000
"HENRY V BURGER MIDDLE SCHOOL, NY",HENRY V BURGER MIDDLE SCHOOL,362517000000,RUSH-HENRIETTA CENTRAL SCHOOL DISTRICT,3625170,MONROE COUNTY,36055,639 ERIE STATION RD,WEST HENRIETTA,NY,14586,9799,5853595308,1-Regular school,1-Local school district,1-Currently operational,2-No,43.040222,-77.671252,261701000000,261701000000
"HERBERT H LEHMAN HIGH SCHOOL, NY",HERBERT H LEHMAN HIGH SCHOOL,360009000000,NEW YORK CITY GEOGRAPHIC DISTRICT # 8,3600085,BRONX COUNTY,36005,3000 EAST TREMONT AVE,BRONX,NY,10461,,7189044200,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.840591,-73.838312,320800000000,320800000000
"HERBERT HOOVER ELEMENTARY SCHOOL, NY",HERBERT HOOVER ELEMENTARY SCHOOL,361623000000,KENMORE-TONAWANDA UNION FREE SCHOOL DISTRICT,3616230,ERIE COUNTY,36029,199 THORNCLIFF RD,BUFFALO,NY,14223,1241,7168748414,1-Regular school,1-Local school district,1-Currently operational,2-No,42.983179,-78.86337,142601000000,142601000000
"HERBERT HOOVER MIDDLE, NJ",HERBERT HOOVER MIDDLE,340450000000,EDISON TOWNSHIP,3404500,MIDDLESEX COUNTY,34023,174 JACKSON AVE,EDISON,NJ,8837,,7324522940,1-Regular school,1-Local school district,1-Currently operational,2-No,40.53297,-74.3402,57,231290
"HERBERT HOOVER MIDDLE SCHOOL, NY",HERBERT HOOVER MIDDLE SCHOOL,361623000000,KENMORE-TONAWANDA UNION FREE SCHOOL DISTRICT,3616230,ERIE COUNTY,36029,249 THORNCLIFF RD,BUFFALO,NY,14223,1277,7168748405,1-Regular school,1-Local school district,1-Currently operational,2-No,42.983181,-78.862871,142601000000,142601000000
"HERBERTSVILLE ELEM, NJ",HERBERTSVILLE ELEM,340222000000,BRICK TOWNSHIP,3402220,OCEAN COUNTY,34029,2282 LNS MILL RD,BRICK,NJ,8724,1003,7327853080,1-Regular school,1-Local school district,1-Currently operational,2-No,40.112271,-74.11239,40,290530
"HERITAGE ELEMENTARY SCHOOL, DE",HERITAGE ELEMENTARY SCHOOL,100130000000,RED CLAY CONSOLIDATED SCHOOL DISTRICT,1001300,NEW CASTLE COUNTY,10003,2815 HIGHLANDS LN,WILMINGTON,DE,19808,3634,3024543424,1-Regular school,1-Local school district,1-Currently operational,2-No,39.722282,-75.684359,242,32
"HERITAGE HEIGHTS ELEMENTARY SCHOOL, NY",HERITAGE HEIGHTS ELEMENTARY SCHOOL,362850000000,SWEET HOME CENTRAL SCHOOL DISTRICT,3628500,ERIE COUNTY,36029,2545 SWEET HOME RD,AMHERST,NY,14228,2282,7162501525,1-Regular school,1-Local school district,1-Currently operational,2-No,43.027999,-78.799149,140207000000,140207000000
"HERITAGE MIDDLE SCH, NJ",HERITAGE MIDDLE SCH,340882000000,LIVINGSTON TOWNSHIP,3408820,ESSEX COUNTY,34013,20 FOXCROFT DR,LIVINGSTON,NJ,7039,2614,9735358000,1-Regular school,1-Local school district,1-Currently operational,2-No,40.787286,-74.340408,55,132730
"HERITAGE MIDDLE SCHOOL, NY",HERITAGE MIDDLE SCHOOL,362070000000,NEWBURGH CITY SCHOOL DISTRICT,3620700,ORANGE COUNTY,36071,405 UNION AVE,NEW WINDSOR,NY,12553,6423,8455633750,1-Regular school,1-Local school district,1-Currently operational,2-No,41.480952,-74.049545,441600000000,441600000000
"HERITAGE SCHOOL (THE), NY",HERITAGE SCHOOL (THE),360008000000,NEW YORK CITY GEOGRAPHIC DISTRICT # 4,3600079,NEW YORK COUNTY,36061,1680 LEXINGTON AVE,NEW YORK,NY,10029,,2128282858,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.791895,-73.946533,310400000000,310400000000
"HERKIMER ELEMENTARY SCHOOL, NY",HERKIMER ELEMENTARY SCHOOL,361422000000,HERKIMER CENTRAL SCHOOL DISTRICT,3614220,HERKIMER COUNTY,36043,255 GROS BLVD,HERKIMER,NY,13350,1494,3158668562,1-Regular school,1-Local school district,1-Currently operational,2-No,43.036873,-74.960226,210601000000,210601000000
"HERKIMER HIGH SCHOOL, NY",HERKIMER HIGH SCHOOL,361422000000,HERKIMER CENTRAL SCHOOL DISTRICT,3614220,HERKIMER COUNTY,36043,801 WEST GERMAN ST,HERKIMER,NY,13350,2199,3158662230,1-Regular school,1-Local school district,1-Currently operational,2-No,43.023838,-75.00113,210601000000,210601000000
"HERKIMER-FULTON-HAMILTON-OTSEGO BOCES, NY",HERKIMER-FULTON-HAMILTON-OTSEGO BOCES,368042000000,HERKIMER-FULTON-HAMILTON-OTSEGO BOCES,3680420,HERKIMER COUNTY,36043,352 GROS BLVD,HERKIMER,NY,13350,1455,3158672023,2-Special education school,4-Regional education services agency,1-Currently operational,2-No,43.036747,-74.963565,219000000000,219000000000
"HERMA S  SIMMONS ELEM, NJ",HERMA S  SIMMONS ELEM,340318000000,CLAYTON,3403180,GLOUCESTER COUNTY,34015,300 WEST CHESTNUT ST,CLAYTON,NJ,8312,1712,8568818704,1-Regular school,1-Local school district,1-Currently operational,2-No,39.652045,-75.097024,40,150860
"HERMAN AVENUE ELEMENTARY SCHOOL, NY",HERMAN AVENUE ELEMENTARY SCHOOL,360348000000,AUBURN CITY SCHOOL DISTRICT,3603480,CAYUGA COUNTY,36011,2 NORTH HERMAN AVE,AUBURN,NY,13021,2998,3152558684,1-Regular school,1-Local school district,1-Currently operational,2-No,42.934867,-76.544054,50100010005,50100010000
"HERMAN BADILLO COMMUNITY SCHOOL, NY",HERMAN BADILLO COMMUNITY SCHOOL,360585000000,BUFFALO CITY SCHOOL DISTRICT,3605850,ERIE COUNTY,36029,315 CAROLINA ST,BUFFALO,NY,14201,2394,7168163848,1-Regular school,1-Local school district,1-Currently operational,2-No,42.893982,-78.878933,140600000000,140600000000
"HERMAN L BRADT ELEMENTARY SCHOOL, NY",HERMAN L BRADT ELEMENTARY SCHOOL,360000000000,ROTTERDAM-MOHONASEN CENTRAL SCHOOL DISTRICT,3600004,SCHENECTADY COUNTY,36093,2719 HAMBURG ST,SCHENECTADY,NY,12303,4400,5183568400,1-Regular school,1-Local school district,1-Currently operational,2-No,42.773907,-73.935441,530515000000,530515000000
"HERMON-DEKALB CENTRAL SCHOOL, NY",HERMON-DEKALB CENTRAL SCHOOL,361425000000,HERMON-DEKALB CENTRAL SCHOOL DISTRICT,3614250,ST. LAWRENCE COUNTY,36089,709 EAST DEKALB RD,DEKALB JUNCTION,NY,13630,213,3153473442,1-Regular school,1-Local school district,1-Currently operational,2-No,44.483578,-75.303582,511301000000,511301000000
"HERRICKS HIGH SCHOOL, NY",HERRICKS HIGH SCHOOL,361428000000,HERRICKS UNION FREE SCHOOL DISTRICT,3614280,NASSAU COUNTY,36059,100 SHELTER ROCK RD,NEW HYDE PARK,NY,11040,1356,5163058700,1-Regular school,1-Local school district,1-Currently operational,2-No,40.759948,-73.664622,280409000000,280409000000
"HERRICKS MIDDLE SCHOOL, NY",HERRICKS MIDDLE SCHOOL,361428000000,HERRICKS UNION FREE SCHOOL DISTRICT,3614280,NASSAU COUNTY,36059,7 HILLDALE RD,ALBERTSON,NY,11507,1021,5163058600,1-Regular school,1-Local school district,1-Currently operational,2-No,40.770799,-73.637004,280409000000,280409000000
"HEUVELTON CENTRAL SCHOOL, NY",HEUVELTON CENTRAL SCHOOL,361431000000,HEUVELTON CENTRAL SCHOOL DISTRICT,3614310,ST. LAWRENCE COUNTY,36089,87 WASHINGTON ST,HEUVELTON,NY,13654,375,3153442414,1-Regular school,1-Local school district,1-Currently operational,2-No,44.621643,-75.408361,512404000000,512404000000
"HEWITT SCHOOL, NY",HEWITT SCHOOL,362478000000,ROCKVILLE CENTRE UNION FREE SCHOOL DISTRICT,3624780,NASSAU COUNTY,36059,446 DEMOTT AVE,ROCKVILLE CENTRE,NY,11570,1899,5162558913,1-Regular school,1-Local school district,1-Currently operational,2-No,40.671239,-73.62298,280221000000,280221000000
"HEWLETT ELEMENTARY SCHOOL, NY",HEWLETT ELEMENTARY SCHOOL,363171000000,HEWLETT-WOODMERE UNION FREE SCHOOL DISTRICT,3631710,NASSAU COUNTY,36059,1570 BROADWAY,HEWLETT,NY,11557,1406,5163748086,1-Regular school,1-Local school district,1-Currently operational,2-No,40.644871,-73.693337,280214000000,280214000000
"HEYWOOD AVE, NJ",HEYWOOD AVE,341227000000,CITY OF ORANGE TOWNSHIP,3412270,ESSEX COUNTY,34013,421 HEYWOOD AVE,ORANGE,NJ,7050,2006,9736774105,1-Regular school,1-Local school district,1-Currently operational,2-No,40.757345,-74.24673,90,133880
"HIAWATHA SCHOOL, NY",HIAWATHA SCHOOL,362535000000,SACHEM CENTRAL SCHOOL DISTRICT,3625350,SUFFOLK COUNTY,36103,97 PATCHHLBRK RD,LAKE RONKONKOMA,NY,11779,5799,6314711830,1-Regular school,1-Local school district,1-Currently operational,2-No,40.820493,-73.093203,580205000000,580205000000
"HICKORY STREET SCHOOL, CT",HICKORY STREET SCHOOL,90312000082,NORWICH SCHOOL DISTRICT,903120,NEW LONDON COUNTY,9011,201 HICKORY ST,NORWICH,CT,6360,,8608234256,2-Special education school,1-Local school district,1-Currently operational,2-No,41.530978,-72.060628,90,104
"HICKSVILLE HIGH SCHOOL, NY",HICKSVILLE HIGH SCHOOL,361434000000,HICKSVILLE UNION FREE SCHOOL DISTRICT,3614340,NASSAU COUNTY,36059,180 DIVISION AVE,HICKSVILLE,NY,11801,4899,5167332202,1-Regular school,1-Local school district,1-Currently operational,2-No,40.758895,-73.524977,280517000000,280517000000
